vehicle_type,engine_cc,vehicle_age_years,chassis_condition,mileage_kmpl,odometer_km,gearbox_type,weight_kg,wheelbase_mm,has_rust,electrical_condition,brake_condition,feasibility_score,recommended
Hatchback,800,5,8,18,45000,Manual,750,2360,0,9,8,88,1
Hatchback,1000,8,6,15,80000,Manual,820,2420,0,7,7,72,1
Hatchback,1200,12,4,12,140000,Manual,860,2460,1,5,5,45,0
Sedan,1500,6,7,14,65000,Manual,1100,2570,0,8,7,78,1
Sedan,1800,10,5,11,120000,Automatic,1250,2650,1,6,6,52,0
Sedan,1600,4,9,16,30000,Manual,1150,2590,0,9,9,91,1
SUV,2000,7,6,12,90000,Manual,1500,2700,0,7,7,65,1
SUV,2500,15,3,9,180000,Automatic,1800,2750,1,4,4,28,0
SUV,1800,5,8,13,50000,Manual,1400,2690,0,8,8,82,1
Three-Wheeler,650,3,9,35,20000,Manual,400,1800,0,9,9,93,1
Three-Wheeler,650,8,6,28,70000,Manual,420,1800,0,7,7,70,1
Three-Wheeler,650,12,4,22,110000,Manual,450,1800,1,5,5,40,0
Pickup,2000,6,7,12,75000,Manual,1350,2950,0,7,8,69,1
Pickup,2500,11,4,10,130000,Manual,1600,3000,1,5,5,38,0
Van,1500,5,8,14,55000,Manual,1200,2700,0,8,8,80,1
Van,2000,9,5,10,100000,Manual,1500,2750,1,6,6,48,0
Hatchback,1000,3,9,20,25000,Manual,800,2400,0,10,9,95,1
Sedan,1400,7,7,15,70000,Manual,1100,2560,0,8,8,76,1
SUV,2200,8,6,11,95000,Automatic,1650,2720,0,7,7,63,1
Three-Wheeler,500,2,10,40,10000,Manual,380,1750,0,10,10,97,1
Hatchback,800,15,2,9,160000,Manual,780,2360,1,3,3,18,0
Sedan,2000,14,3,9,150000,Automatic,1300,2700,1,4,4,25,0
Van,1800,7,7,11,80000,Manual,1400,2800,0,8,7,71,1
Pickup,1500,4,9,15,35000,Manual,1200,2900,0,9,9,87,1
Hatchback,1100,6,7,17,60000,Manual,830,2430,0,8,8,79,1
Sedan,1600,9,5,12,110000,Manual,1180,2600,0,6,6,55,0
SUV,2000,3,9,14,28000,Automatic,1480,2710,0,9,9,89,1
Three-Wheeler,650,5,8,32,45000,Manual,410,1800,0,8,8,83,1
Van,1200,3,10,18,20000,Manual,1100,2680,0,10,9,94,1
Pickup,2200,10,4,9,125000,Manual,1550,3050,1,5,5,35,0
