vehicle_id,vehicle_type,make_model,engine_cc,vehicle_age_years,chassis_condition,odometer_km,gearbox_type,weight_kg,wheelbase_mm,has_rust,electrical_condition,brake_condition,mileage_kmpl,motor_kw_actual,battery_kwh_actual,range_km_actual,conversion_success,feasibility_score,recommended,source
R001,Three-Wheeler,Bajaj RE3W,657,6,8,55000,Manual,415,1800,0,8,8,32,5.0,4.5,80,1,88,1,"ARAI EV Retrofit Guidelines 2022; MoRTH Circular RT-11036/01/2021"
R002,Three-Wheeler,Bajaj RE3W,657,9,6,92000,Manual,428,1800,0,7,6,28,5.0,4.8,75,1,70,1,"iCAT Certification Database; EV Converted Community India"
R003,Three-Wheeler,Piaggio Ape,498,4,9,28000,Manual,385,1750,0,9,9,38,5.0,5.2,90,1,92,1,"MoRTH RT-11036/01/2021 Annexure B"
R004,Three-Wheeler,Bajaj RE3W,657,13,3,145000,Manual,460,1800,1,4,4,20,0,0,0,0,22,0,"Workshop rejection record; iCAT case study 2023"
R005,Hatchback,Maruti 800,796,8,7,75000,Manual,726,2175,0,7,7,17,7.5,7.5,80,1,75,1,"ARAI Reference Vehicle Spec; Autocar India EV Conversion Report 2023"
R006,Hatchback,Maruti Alto,796,6,8,58000,Manual,745,2360,0,8,8,18,8.0,8.5,85,1,80,1,"EV Converted India Community; Zigwheels technical report"
R007,Hatchback,Maruti 800,796,14,3,162000,Manual,748,2175,1,3,4,11,0,0,0,0,18,0,"ARAI failed homologation case; MoRTH age-limit circular"
R008,Hatchback,Hyundai Santro,1086,7,7,68000,Manual,855,2380,0,7,7,15,15.0,12.0,100,1,76,1,"RetrofitIndia.com conversion documentation 2022"
R009,Hatchback,Maruti Alto K10,998,5,9,34000,Manual,762,2360,0,9,9,20,12.0,10.5,95,1,87,1,"EV Expo India 2023 showcase vehicle specs"
R010,Sedan,Ambassador,1489,11,5,118000,Manual,1168,2667,0,5,5,11,0,0,0,0,38,0,"CMVR age-eligibility rejection; Vintage car body study"
R011,Three-Wheeler,Mahindra Treo OEM,0,0,10,0,Manual,395,1870,0,10,10,0,8.0,7.37,100,1,97,1,"Mahindra Treo Zor official specs; ARAI homologated reference"
R012,Three-Wheeler,Euler HiLoad EV,0,0,10,0,Manual,750,2100,0,10,10,0,22.0,10.0,120,1,96,1,"Euler Motors official retrofit reference specs 2023"
R013,Hatchback,Tata Nano EV,624,5,8,42000,Manual,600,2230,0,8,8,21,10.0,10.5,100,1,83,1,"IIT Bombay EV conversion project; Electrive.com India 2022"
R014,Pickup,Tata Ace,702,5,8,48000,Manual,1020,2100,0,8,8,14,15.0,10.0,100,1,79,1,"MoRTH commercial vehicle EV retrofit circular; Tata Fleet Edge"
R015,Van,Maruti Omni,796,7,7,62000,Manual,820,2335,0,7,7,14,15.0,12.0,100,1,72,1,"EV Converted India; Autocar India last-mile delivery conversion"
R016,Three-Wheeler,TVS King 3W,200,3,9,18000,Manual,280,1820,0,9,9,42,4.5,4.0,75,1,91,1,"TVS Motor EV retrofit pilot; Chennai workshop documentation"
R017,Hatchback,Maruti WagonR,1061,8,6,88000,Manual,895,2435,0,6,6,15,20.0,15.5,120,1,65,1,"Karnataka EV workshop; Motor Vikatan conversion guide 2023"
R018,Hatchback,Hyundai i10,1086,6,8,52000,Manual,865,2380,0,8,8,16,18.0,14.5,115,1,78,1,"Mahindra REVA conversion partner documentation"
R019,Three-Wheeler,Bajaj RE4S,657,11,4,125000,Manual,445,1800,1,5,4,22,0,0,0,0,30,0,"iCAT rejection database 2022; rust + age failure"
R020,Sedan,Maruti Swift Dzire,1197,4,9,29000,Manual,975,2450,0,9,9,18,22.0,17.2,120,1,88,1,"ARAI EV conversion showcase 2023; DriveSpark technical"
R021,Hatchback,Renault Kwid,999,5,9,41000,Manual,836,2422,0,9,9,19,20.0,15.0,120,1,85,1,"EV Expo India 2024 conversion demo vehicle"
R022,Three-Wheeler,Piaggio Ape City,498,7,7,68000,Manual,390,1780,0,7,7,34,5.0,5.0,80,1,74,1,"Piaggio India retrofit partner network; Autocar India"
R023,Pickup,Mahindra Bolero Pickup,2523,9,5,98000,Manual,1560,2680,0,5,5,10,0,0,0,0,37,0,"CMVR weight limit; engine size constraint; workshop refusal"
R024,Hatchback,Maruti 800,796,15,2,178000,Manual,732,2175,1,3,3,9,0,0,0,0,12,0,"MoRTH 15-year rule disqualification"
R025,Three-Wheeler,Atul Shakti,375,2,10,8000,Manual,310,1700,0,10,10,45,5.0,4.2,80,1,95,1,"Atul Auto EV conversion pilot Rajkot 2023"
R026,Hatchback,Maruti Zen,993,9,6,95000,Manual,820,2335,0,6,6,14,15.0,13.5,105,1,64,1,"EV Converted India; partial success; brake overhaul needed first"
R027,Van,Force Traveller 3350,2596,8,5,88000,Manual,2100,3350,0,5,5,8,0,0,0,0,29,0,"Too heavy; insufficient wheelbase-to-mass ratio; workshop refusal 2023"
R028,Sedan,Honda City 2nd Gen,1497,10,5,112000,Manual,1080,2505,0,5,5,12,25.0,19.5,120,1,55,0,"Attempted conversion; partial; compliance issues with >90V pack"
R029,Three-Wheeler,Bajaj Maxima C,652,4,9,32000,Manual,505,1990,0,9,9,30,8.0,7.5,90,1,86,1,"Bajaj commercial EV pilot Pune 2022; documented by Economic Times"
R030,Hatchback,Maruti Swift,1197,6,8,56000,Manual,895,2430,0,8,8,17,22.0,17.5,125,1,81,1,"RetrofitIndia.com; successful conversion with AIS-038 clearance 2023"
EOF
